Year,Month,City,Therapy Area,Units Sold,Price per Unit,Revenue
2021,Jan,Kolkata,Diabetes,5182,₹120,"₹621,840"
2021,Jan,Kolkata,Cardiology,3470,₹150,"₹520,500"
2021,Jan,Kolkata,Respiratory,5437,₹110,"₹598,070"
2021,Jan,Kolkata,Gastrointestinal,6643,₹95,"₹631,085"
2021,Jan,Kolkata,Anti-infective,3966,₹80,"₹317,280"
2021,Jan,Kolkata,Pain Management,1630,₹60,"₹97,800"
2021,Jan,Pune,Diabetes,7716,₹120,"₹925,920"
2021,Jan,Pune,Cardiology,2807,₹150,"₹421,050"
2021,Jan,Pune,Respiratory,7219,₹110,"₹794,090"
2021,Jan,Pune,Gastrointestinal,4962,₹95,"₹471,390"
2021,Jan,Pune,Anti-infective,4287,₹80,"₹342,960"
2021,Jan,Pune,Pain Management,3776,₹60,"₹226,560"
2021,Jan,Ahmedabad,Diabetes,2634,₹120,"₹316,080"
2021,Jan,Ahmedabad,Cardiology,3099,₹150,"₹464,850"
2021,Jan,Ahmedabad,Respiratory,7366,₹110,"₹810,260"
2021,Jan,Ahmedabad,Gastrointestinal,4044,₹95,"₹384,180"
2021,Jan,Ahmedabad,Anti-infective,2220,₹80,"₹177,600"
2021,Jan,Ahmedabad,Pain Management,2146,₹60,"₹128,760"
2021,Jan,Jaipur,Diabetes,4150,₹120,"₹498,000"
2021,Jan,Jaipur,Cardiology,2062,₹150,"₹309,300"
2021,Jan,Jaipur,Respiratory,3996,₹110,"₹439,560"
2021,Jan,Jaipur,Gastrointestinal,3885,₹95,"₹369,075"
2021,Jan,Jaipur,Anti-infective,5800,₹80,"₹464,000"
2021,Jan,Jaipur,Pain Management,3299,₹60,"₹197,940"
2021,Jan,Lucknow,Diabetes,1632,₹120,"₹195,840"
2021,Jan,Lucknow,Cardiology,6579,₹150,"₹986,850"
2021,Jan,Lucknow,Respiratory,4631,₹110,"₹509,410"
2021,Jan,Lucknow,Gastrointestinal,5184,₹95,"₹492,480"
2021,Jan,Lucknow,Anti-infective,2219,₹80,"₹177,520"
2021,Jan,Lucknow,Pain Management,4048,₹60,"₹242,880"
2021,Jan,Chandigarh,Diabetes,1823,₹120,"₹218,760"
2021,Jan,Chandigarh,Cardiology,5118,₹150,"₹767,700"
2021,Jan,Chandigarh,Respiratory,3315,₹110,"₹364,650"
2021,Jan,Chandigarh,Gastrointestinal,5651,₹95,"₹536,845"
2021,Jan,Chandigarh,Anti-infective,5581,₹80,"₹446,480"
2021,Jan,Chandigarh,Pain Management,3792,₹60,"₹227,520"
2021,Jan,Indore,Diabetes,5107,₹120,"₹612,840"
2021,Jan,Indore,Cardiology,2521,₹150,"₹378,150"
2021,Jan,Indore,Respiratory,5962,₹110,"₹655,820"
2021,Jan,Indore,Gastrointestinal,1696,₹95,"₹161,120"
2021,Jan,Indore,Anti-infective,1537,₹80,"₹122,960"
2021,Jan,Indore,Pain Management,5671,₹60,"₹340,260"
2021,Jan,Surat,Diabetes,2692,₹120,"₹323,040"
2021,Jan,Surat,Cardiology,6265,₹150,"₹939,750"
2021,Jan,Surat,Respiratory,3096,₹110,"₹340,560"
2021,Jan,Surat,Gastrointestinal,1722,₹95,"₹163,590"
2021,Jan,Surat,Anti-infective,2725,₹80,"₹218,000"
2021,Jan,Surat,Pain Management,1861,₹60,"₹111,660"
2021,Jan,Nagpur,Diabetes,3598,₹120,"₹431,760"
2021,Jan,Nagpur,Cardiology,2946,₹150,"₹441,900"
2021,Jan,Nagpur,Respiratory,4066,₹110,"₹447,260"
2021,Jan,Nagpur,Gastrointestinal,5231,₹95,"₹496,945"
2021,Jan,Nagpur,Anti-infective,3500,₹80,"₹280,000"
2021,Jan,Nagpur,Pain Management,2208,₹60,"₹132,480"
2021,Jan,Kochi,Diabetes,3399,₹120,"₹407,880"
2021,Jan,Kochi,Cardiology,3307,₹150,"₹496,050"
2021,Jan,Kochi,Respiratory,2412,₹110,"₹265,320"
2021,Jan,Kochi,Gastrointestinal,5242,₹95,"₹497,990"
2021,Jan,Kochi,Anti-infective,2765,₹80,"₹221,200"
2021,Jan,Kochi,Pain Management,5436,₹60,"₹326,160"
2021,Feb,Mumbai,Diabetes,8000,₹120,"₹960,000"
2021,Feb,Mumbai,Cardiology,8000,₹150,"₹1,200,000"
2021,Feb,Mumbai,Respiratory,2917,₹110,"₹320,870"
2021,Feb,Mumbai,Gastrointestinal,8000,₹95,"₹760,000"
2021,Feb,Mumbai,Anti-infective,8000,₹80,"₹640,000"
2021,Feb,Mumbai,Pain Management,4061,₹60,"₹243,660"
2021,Feb,Delhi,Diabetes,7931,₹120,"₹951,720"
2021,Feb,Delhi,Cardiology,8000,₹150,"₹1,200,000"
2021,Feb,Delhi,Respiratory,4731,₹110,"₹520,410"
2021,Feb,Delhi,Gastrointestinal,3831,₹95,"₹363,945"
2021,Feb,Delhi,Anti-infective,7136,₹80,"₹570,880"
2021,Feb,Delhi,Pain Management,6220,₹60,"₹373,200"
2021,Feb,Bangalore,Diabetes,4453,₹120,"₹534,360"
2021,Feb,Bangalore,Cardiology,8000,₹150,"₹1,200,000"
2021,Feb,Bangalore,Respiratory,8000,₹110,"₹880,000"
2021,Feb,Bangalore,Gastrointestinal,7274,₹95,"₹691,030"
2021,Feb,Bangalore,Anti-infective,3958,₹80,"₹316,640"
2021,Feb,Bangalore,Pain Management,8000,₹60,"₹480,000"
2021,Feb,Hyderabad,Diabetes,4779,₹120,"₹573,480"
2021,Feb,Hyderabad,Cardiology,8000,₹150,"₹1,200,000"
2021,Feb,Hyderabad,Respiratory,8000,₹110,"₹880,000"
2021,Feb,Hyderabad,Gastrointestinal,2251,₹95,"₹213,845"
2021,Feb,Hyderabad,Anti-infective,3882,₹80,"₹310,560"
2021,Feb,Hyderabad,Pain Management,2026,₹60,"₹121,560"
2021,Feb,Chennai,Diabetes,4492,₹120,"₹539,040"
2021,Feb,Chennai,Cardiology,5264,₹150,"₹789,600"
2021,Feb,Chennai,Respiratory,4062,₹110,"₹446,820"
2021,Feb,Chennai,Gastrointestinal,2246,₹95,"₹213,370"
2021,Feb,Chennai,Anti-infective,3550,₹80,"₹284,000"
2021,Feb,Chennai,Pain Management,6760,₹60,"₹405,600"
2021,Feb,Kolkata,Diabetes,7750,₹120,"₹930,000"
2021,Feb,Kolkata,Cardiology,4280,₹150,"₹642,000"
2021,Feb,Kolkata,Respiratory,3403,₹110,"₹374,330"
2021,Feb,Kolkata,Gastrointestinal,7212,₹95,"₹685,140"
2021,Feb,Kolkata,Anti-infective,5868,₹80,"₹469,440"
2021,Feb,Kolkata,Pain Management,4978,₹60,"₹298,680"
2021,Feb,Pune,Diabetes,6766,₹120,"₹811,920"
2021,Feb,Pune,Cardiology,5258,₹150,"₹788,700"
2021,Feb,Pune,Respiratory,2670,₹110,"₹293,700"
2021,Feb,Pune,Gastrointestinal,3669,₹95,"₹348,555"
2021,Feb,Pune,Anti-infective,2643,₹80,"₹211,440"
2021,Feb,Pune,Pain Management,3520,₹60,"₹211,200"
2021,Feb,Ahmedabad,Diabetes,7221,₹120,"₹866,520"
2021,Feb,Ahmedabad,Cardiology,5793,₹150,"₹868,950"
2021,Feb,Ahmedabad,Respiratory,5619,₹110,"₹618,090"
2021,Feb,Ahmedabad,Gastrointestinal,3469,₹95,"₹329,555"
2021,Feb,Ahmedabad,Anti-infective,7238,₹80,"₹579,040"
2021,Feb,Ahmedabad,Pain Management,5973,₹60,"₹358,380"
2021,Feb,Jaipur,Diabetes,4508,₹120,"₹540,960"
2021,Feb,Jaipur,Cardiology,5652,₹150,"₹847,800"
2021,Feb,Jaipur,Respiratory,4293,₹110,"₹472,230"
2021,Feb,Jaipur,Gastrointestinal,4018,₹95,"₹381,710"
2021,Feb,Jaipur,Anti-infective,2966,₹80,"₹237,280"
2021,Feb,Jaipur,Pain Management,2369,₹60,"₹142,140"
2021,Feb,Lucknow,Diabetes,4993,₹120,"₹599,160"
2021,Feb,Lucknow,Cardiology,4876,₹150,"₹731,400"
2021,Feb,Lucknow,Respiratory,1974,₹110,"₹217,140"
2021,Feb,Lucknow,Gastrointestinal,6768,₹95,"₹642,960"
2021,Feb,Lucknow,Anti-infective,1658,₹80,"₹132,640"
2021,Feb,Lucknow,Pain Management,2110,₹60,"₹126,600"
2021,Feb,Chandigarh,Diabetes,2339,₹120,"₹280,680"
2021,Feb,Chandigarh,Cardiology,5644,₹150,"₹846,600"
2021,Feb,Chandigarh,Respiratory,2388,₹110,"₹262,680"
2021,Feb,Chandigarh,Gastrointestinal,6789,₹95,"₹644,955"
2021,Feb,Chandigarh,Anti-infective,6012,₹80,"₹480,960"
2021,Feb,Chandigarh,Pain Management,4214,₹60,"₹252,840"
2021,Feb,Indore,Diabetes,5235,₹120,"₹628,200"
2021,Feb,Indore,Cardiology,1656,₹150,"₹248,400"
2021,Feb,Indore,Respiratory,3814,₹110,"₹419,540"
2021,Feb,Indore,Gastrointestinal,3793,₹95,"₹360,335"
2021,Feb,Indore,Anti-infective,5232,₹80,"₹418,560"
2021,Feb,Indore,Pain Management,4373,₹60,"₹262,380"
2021,Feb,Surat,Diabetes,4667,₹120,"₹560,040"
2021,Feb,Surat,Cardiology,2847,₹150,"₹427,050"
2021,Feb,Surat,Respiratory,4825,₹110,"₹530,750"
2021,Feb,Surat,Gastrointestinal,1500,₹95,"₹142,500"
2021,Feb,Surat,Anti-infective,5657,₹80,"₹452,560"
2021,Feb,Surat,Pain Management,5923,₹60,"₹355,380"
2021,Feb,Nagpur,Diabetes,1901,₹120,"₹228,120"
2021,Feb,Nagpur,Cardiology,5525,₹150,"₹828,750"
2021,Feb,Nagpur,Respiratory,4600,₹110,"₹506,000"
2021,Feb,Nagpur,Gastrointestinal,5967,₹95,"₹566,865"
2021,Feb,Nagpur,Anti-infective,2874,₹80,"₹229,920"
2021,Feb,Nagpur,Pain Management,6080,₹60,"₹364,800"
2021,Feb,Kochi,Diabetes,5062,₹120,"₹607,440"
2021,Feb,Kochi,Cardiology,3214,₹150,"₹482,100"
2021,Feb,Kochi,Respiratory,1809,₹110,"₹198,990"
2021,Feb,Kochi,Gastrointestinal,2928,₹95,"₹278,160"
2021,Feb,Kochi,Anti-infective,3795,₹80,"₹303,600"
2021,Feb,Kochi,Pain Management,2096,₹60,"₹125,760"
2021,Mar,Mumbai,Diabetes,7302,₹120,"₹876,240"
2021,Mar,Mumbai,Cardiology,2136,₹150,"₹320,400"
2021,Mar,Mumbai,Respiratory,8000,₹110,"₹880,000"
2021,Mar,Mumbai,Gastrointestinal,8000,₹95,"₹760,000"
2021,Mar,Mumbai,Anti-infective,5119,₹80,"₹409,520"
2021,Mar,Mumbai,Pain Management,7839,₹60,"₹470,340"
2021,Mar,Delhi,Diabetes,8000,₹120,"₹960,000"
2021,Mar,Delhi,Cardiology,4000,₹150,"₹600,000"
2021,Mar,Delhi,Respiratory,7638,₹110,"₹840,180"
2021,Mar,Delhi,Gastrointestinal,3200,₹95,"₹304,000"
2021,Mar,Delhi,Anti-infective,8000,₹80,"₹640,000"
2021,Mar,Delhi,Pain Management,5324,₹60,"₹319,440"
2021,Mar,Bangalore,Diabetes,8000,₹120,"₹960,000"
2021,Mar,Bangalore,Cardiology,6789,₹150,"₹1,018,350"
2021,Mar,Bangalore,Respiratory,7785,₹110,"₹856,350"
2021,Mar,Bangalore,Gastrointestinal,3754,₹95,"₹356,630"
2021,Mar,Bangalore,Anti-infective,3302,₹80,"₹264,160"
2021,Mar,Bangalore,Pain Management,5475,₹60,"₹328,500"
2021,Mar,Hyderabad,Diabetes,8000,₹120,"₹960,000"
2021,Mar,Hyderabad,Cardiology,3246,₹150,"₹486,900"
2021,Mar,Hyderabad,Respiratory,6805,₹110,"₹748,550"
2021,Mar,Hyderabad,Gastrointestinal,8000,₹95,"₹760,000"
2021,Mar,Hyderabad,Anti-infective,6720,₹80,"₹537,600"
2021,Mar,Hyderabad,Pain Management,1729,₹60,"₹103,740"
2021,Mar,Chennai,Diabetes,7046,₹120,"₹845,520"
2021,Mar,Chennai,Cardiology,4570,₹150,"₹685,500"
2021,Mar,Chennai,Respiratory,6052,₹110,"₹665,720"
2021,Mar,Chennai,Gastrointestinal,1824,₹95,"₹173,280"
2021,Mar,Chennai,Anti-infective,2657,₹80,"₹212,560"
2021,Mar,Chennai,Pain Management,4920,₹60,"₹295,200"
2021,Mar,Kolkata,Diabetes,4219,₹120,"₹506,280"
2021,Mar,Kolkata,Cardiology,3634,₹150,"₹545,100"
2021,Mar,Kolkata,Respiratory,2072,₹110,"₹227,920"
2021,Mar,Kolkata,Gastrointestinal,3646,₹95,"₹346,370"
2021,Mar,Kolkata,Anti-infective,6454,₹80,"₹516,320"
2021,Mar,Kolkata,Pain Management,2252,₹60,"₹135,120"
2021,Mar,Pune,Diabetes,2201,₹120,"₹264,120"
2021,Mar,Pune,Cardiology,7495,₹150,"₹1,124,250"
2021,Mar,Pune,Respiratory,5481,₹110,"₹602,910"
2021,Mar,Pune,Gastrointestinal,2066,₹95,"₹196,270"
2021,Mar,Pune,Anti-infective,7730,₹80,"₹618,400"
2021,Mar,Pune,Pain Management,5863,₹60,"₹351,780"
2021,Mar,Ahmedabad,Diabetes,7384,₹120,"₹886,080"
2021,Mar,Ahmedabad,Cardiology,2403,₹150,"₹360,450"
2021,Mar,Ahmedabad,Respiratory,2423,₹110,"₹266,530"
2021,Mar,Ahmedabad,Gastrointestinal,6558,₹95,"₹623,010"
2021,Mar,Ahmedabad,Anti-infective,5123,₹80,"₹409,840"
2021,Mar,Ahmedabad,Pain Management,5702,₹60,"₹342,120"
2021,Mar,Jaipur,Diabetes,2566,₹120,"₹307,920"
2021,Mar,Jaipur,Cardiology,3303,₹150,"₹495,450"
2021,Mar,Jaipur,Respiratory,5239,₹110,"₹576,290"
2021,Mar,Jaipur,Gastrointestinal,5822,₹95,"₹553,090"
2021,Mar,Jaipur,Anti-infective,4469,₹80,"₹357,520"
2021,Mar,Jaipur,Pain Management,2911,₹60,"₹174,660"
2021,Mar,Lucknow,Diabetes,5206,₹120,"₹624,720"
2021,Mar,Lucknow,Cardiology,6764,₹150,"₹1,014,600"
2021,Mar,Lucknow,Respiratory,6581,₹110,"₹723,910"
2021,Mar,Lucknow,Gastrointestinal,6292,₹95,"₹597,740"
2021,Mar,Lucknow,Anti-infective,2769,₹80,"₹221,520"
2021,Mar,Lucknow,Pain Management,6459,₹60,"₹387,540"
2021,Mar,Chandigarh,Diabetes,3445,₹120,"₹413,400"
2021,Mar,Chandigarh,Cardiology,4052,₹150,"₹607,800"
2021,Mar,Chandigarh,Respiratory,5951,₹110,"₹654,610"
2021,Mar,Chandigarh,Gastrointestinal,5799,₹95,"₹550,905"
2021,Mar,Chandigarh,Anti-infective,3875,₹80,"₹310,000"
2021,Mar,Chandigarh,Pain Management,4324,₹60,"₹259,440"
2021,Mar,Indore,Diabetes,4705,₹120,"₹564,600"
2021,Mar,Indore,Cardiology,4262,₹150,"₹639,300"
2021,Mar,Indore,Respiratory,2042,₹110,"₹224,620"
2021,Mar,Indore,Gastrointestinal,2894,₹95,"₹274,930"
2021,Mar,Indore,Anti-infective,2738,₹80,"₹219,040"
2021,Mar,Indore,Pain Management,1659,₹60,"₹99,540"
2021,Mar,Surat,Diabetes,3415,₹120,"₹409,800"
2021,Mar,Surat,Cardiology,1500,₹150,"₹225,000"
2021,Mar,Surat,Respiratory,5055,₹110,"₹556,050"
2021,Mar,Surat,Gastrointestinal,4829,₹95,"₹458,755"
2021,Mar,Surat,Anti-infective,2708,₹80,"₹216,640"
2021,Mar,Surat,Pain Management,5056,₹60,"₹303,360"
2021,Mar,Nagpur,Diabetes,2577,₹120,"₹309,240"
2021,Mar,Nagpur,Cardiology,1500,₹150,"₹225,000"
2021,Mar,Nagpur,Respiratory,1623,₹110,"₹178,530"
2021,Mar,Nagpur,Gastrointestinal,5692,₹95,"₹540,740"
2021,Mar,Nagpur,Anti-infective,5201,₹80,"₹416,080"
2021,Mar,Nagpur,Pain Management,1545,₹60,"₹92,700"
2021,Mar,Kochi,Diabetes,2531,₹120,"₹303,720"
2021,Mar,Kochi,Cardiology,1539,₹150,"₹230,850"
2021,Mar,Kochi,Respiratory,1500,₹110,"₹165,000"
2021,Mar,Kochi,Gastrointestinal,3154,₹95,"₹299,630"
2021,Mar,Kochi,Anti-infective,1560,₹80,"₹124,800"
2021,Mar,Kochi,Pain Management,4283,₹60,"₹256,980"
2021,Apr,Mumbai,Diabetes,4828,₹120,"₹579,360"
2021,Apr,Mumbai,Cardiology,5293,₹150,"₹793,950"
2021,Apr,Mumbai,Respiratory,8000,₹110,"₹880,000"
2021,Apr,Mumbai,Gastrointestinal,7666,₹95,"₹728,270"
2021,Apr,Mumbai,Anti-infective,4557,₹80,"₹364,560"
2021,Apr,Mumbai,Pain Management,8000,₹60,"₹480,000"
2021,Apr,Delhi,Diabetes,3487,₹120,"₹418,440"
2021,Apr,Delhi,Cardiology,8000,₹150,"₹1,200,000"
2021,Apr,Delhi,Respiratory,8000,₹110,"₹880,000"
2021,Apr,Delhi,Gastrointestinal,8000,₹95,"₹760,000"
2021,Apr,Delhi,Anti-infective,7252,₹80,"₹580,160"
2021,Apr,Delhi,Pain Management,4711,₹60,"₹282,660"
2021,Apr,Bangalore,Diabetes,8000,₹120,"₹960,000"
2021,Apr,Bangalore,Cardiology,6448,₹150,"₹967,200"
2021,Apr,Bangalore,Respiratory,5800,₹110,"₹638,000"
2021,Apr,Bangalore,Gastrointestinal,3670,₹95,"₹348,650"
2021,Apr,Bangalore,Anti-infective,2726,₹80,"₹218,080"
2021,Apr,Bangalore,Pain Management,2752,₹60,"₹165,120"
2021,Apr,Hyderabad,Diabetes,7932,₹120,"₹951,840"
2021,Apr,Hyderabad,Cardiology,5785,₹150,"₹867,750"
2021,Apr,Hyderabad,Respiratory,5062,₹110,"₹556,820"
2021,Apr,Hyderabad,Gastrointestinal,5714,₹95,"₹542,830"
2021,Apr,Hyderabad,Anti-infective,5597,₹80,"₹447,760"
2021,Apr,Hyderabad,Pain Management,6123,₹60,"₹367,380"
2021,Apr,Chennai,Diabetes,8000,₹120,"₹960,000"
2021,Apr,Chennai,Cardiology,2137,₹150,"₹320,550"
2021,Apr,Chennai,Respiratory,7717,₹110,"₹848,870"
2021,Apr,Chennai,Gastrointestinal,7538,₹95,"₹716,110"
2021,Apr,Chennai,Anti-infective,7472,₹80,"₹597,760"
2021,Apr,Chennai,Pain Management,2536,₹60,"₹152,160"
2021,Apr,Kolkata,Diabetes,2095,₹120,"₹251,400"
2021,Apr,Kolkata,Cardiology,5037,₹150,"₹755,550"
2021,Apr,Kolkata,Respiratory,7838,₹110,"₹862,180"
2021,Apr,Kolkata,Gastrointestinal,4492,₹95,"₹426,740"
2021,Apr,Kolkata,Anti-infective,2514,₹80,"₹201,120"
2021,Apr,Kolkata,Pain Management,3712,₹60,"₹222,720"
2021,Apr,Pune,Diabetes,3069,₹120,"₹368,280"
2021,Apr,Pune,Cardiology,3058,₹150,"₹458,700"
2021,Apr,Pune,Respiratory,5893,₹110,"₹648,230"
2021,Apr,Pune,Gastrointestinal,5175,₹95,"₹491,625"
2021,Apr,Pune,Anti-infective,2648,₹80,"₹211,840"
2021,Apr,Pune,Pain Management,4956,₹60,"₹297,360"
2021,Apr,Ahmedabad,Diabetes,2852,₹120,"₹342,240"
2021,Apr,Ahmedabad,Cardiology,3591,₹150,"₹538,650"
2021,Apr,Ahmedabad,Respiratory,5024,₹110,"₹552,640"
2021,Apr,Ahmedabad,Gastrointestinal,3368,₹95,"₹319,960"
2021,Apr,Ahmedabad,Anti-infective,2011,₹80,"₹160,880"
2021,Apr,Ahmedabad,Pain Management,4873,₹60,"₹292,380"
2021,Apr,Jaipur,Diabetes,5407,₹120,"₹648,840"
2021,Apr,Jaipur,Cardiology,2071,₹150,"₹310,650"
2021,Apr,Jaipur,Respiratory,1722,₹110,"₹189,420"
2021,Apr,Jaipur,Gastrointestinal,6157,₹95,"₹584,915"
2021,Apr,Jaipur,Anti-infective,5335,₹80,"₹426,800"
2021,Apr,Jaipur,Pain Management,1500,₹60,"₹90,000"
2021,Apr,Lucknow,Diabetes,1992,₹120,"₹239,040"
2021,Apr,Lucknow,Cardiology,6752,₹150,"₹1,012,800"
2021,Apr,Lucknow,Respiratory,3023,₹110,"₹332,530"
2021,Apr,Lucknow,Gastrointestinal,2518,₹95,"₹239,210"
2021,Apr,Lucknow,Anti-infective,4249,₹80,"₹339,920"
2021,Apr,Lucknow,Pain Management,4820,₹60,"₹289,200"
2021,Apr,Chandigarh,Diabetes,4626,₹120,"₹555,120"
2021,Apr,Chandigarh,Cardiology,2763,₹150,"₹414,450"
2021,Apr,Chandigarh,Respiratory,4067,₹110,"₹447,370"
2021,Apr,Chandigarh,Gastrointestinal,1683,₹95,"₹159,885"
2021,Apr,Chandigarh,Anti-infective,2420,₹80,"₹193,600"
2021,Apr,Chandigarh,Pain Management,3913,₹60,"₹234,780"
2021,Apr,Indore,Diabetes,1500,₹120,"₹180,000"
2021,Apr,Indore,Cardiology,3852,₹150,"₹577,800"
2021,Apr,Indore,Respiratory,3011,₹110,"₹331,210"
2021,Apr,Indore,Gastrointestinal,6496,₹95,"₹617,120"
2021,Apr,Indore,Anti-infective,6503,₹80,"₹520,240"
2021,Apr,Indore,Pain Management,4286,₹60,"₹257,160"
2021,Apr,Surat,Diabetes,3068,₹120,"₹368,160"
2021,Apr,Surat,Cardiology,3972,₹150,"₹595,800"
2021,Apr,Surat,Respiratory,5764,₹110,"₹634,040"
2021,Apr,Surat,Gastrointestinal,5987,₹95,"₹568,765"
2021,Apr,Surat,Anti-infective,6333,₹80,"₹506,640"
2021,Apr,Surat,Pain Management,4841,₹60,"₹290,460"
2021,Apr,Nagpur,Diabetes,5399,₹120,"₹647,880"
2021,Apr,Nagpur,Cardiology,5760,₹150,"₹864,000"
2021,Apr,Nagpur,Respiratory,4279,₹110,"₹470,690"
2021,Apr,Nagpur,Gastrointestinal,2159,₹95,"₹205,105"
2021,Apr,Nagpur,Anti-infective,2382,₹80,"₹190,560"
2021,Apr,Nagpur,Pain Management,3065,₹60,"₹183,900"
2021,Apr,Kochi,Diabetes,2462,₹120,"₹295,440"
2021,Apr,Kochi,Cardiology,1500,₹150,"₹225,000"
2021,Apr,Kochi,Respiratory,4683,₹110,"₹515,130"
2021,Apr,Kochi,Gastrointestinal,5645,₹95,"₹536,275"
2021,Apr,Kochi,Anti-infective,4455,₹80,"₹356,400"
2021,Apr,Kochi,Pain Management,1500,₹60,"₹90,000"
2021,May,Mumbai,Diabetes,8000,₹120,"₹960,000"
2021,May,Mumbai,Cardiology,5696,₹150,"₹854,400"
2021,May,Mumbai,Respiratory,2755,₹110,"₹303,050"
2021,May,Mumbai,Gastrointestinal,2674,₹95,"₹254,030"
2021,May,Mumbai,Anti-infective,8000,₹80,"₹640,000"
2021,May,Mumbai,Pain Management,7566,₹60,"₹453,960"
2021,May,Delhi,Diabetes,7585,₹120,"₹910,200"
2021,May,Delhi,Cardiology,7897,₹150,"₹1,184,550"
2021,May,Delhi,Respiratory,3765,₹110,"₹414,150"
2021,May,Delhi,Gastrointestinal,2652,₹95,"₹251,940"
2021,May,Delhi,Anti-infective,7641,₹80,"₹611,280"
2021,May,Delhi,Pain Management,2910,₹60,"₹174,600"
2021,May,Bangalore,Diabetes,3626,₹120,"₹435,120"
2021,May,Bangalore,Cardiology,2473,₹150,"₹370,950"
2021,May,Bangalore,Respiratory,7648,₹110,"₹841,280"
2021,May,Bangalore,Gastrointestinal,2467,₹95,"₹234,365"
2021,May,Bangalore,Anti-infective,8000,₹80,"₹640,000"
2021,May,Bangalore,Pain Management,4111,₹60,"₹246,660"
2021,May,Hyderabad,Diabetes,5528,₹120,"₹663,360"
2021,May,Hyderabad,Cardiology,2854,₹150,"₹428,100"
2021,May,Hyderabad,Respiratory,7090,₹110,"₹779,900"
2021,May,Hyderabad,Gastrointestinal,4043,₹95,"₹384,085"
2021,May,Hyderabad,Anti-infective,7178,₹80,"₹574,240"
2021,May,Hyderabad,Pain Management,7325,₹60,"₹439,500"
2021,May,Chennai,Diabetes,2007,₹120,"₹240,840"
2021,May,Chennai,Cardiology,7230,₹150,"₹1,084,500"
2021,May,Chennai,Respiratory,2388,₹110,"₹262,680"
2021,May,Chennai,Gastrointestinal,5427,₹95,"₹515,565"
2021,May,Chennai,Anti-infective,7573,₹80,"₹605,840"
2021,May,Chennai,Pain Management,6909,₹60,"₹414,540"
2021,May,Kolkata,Diabetes,6436,₹120,"₹772,320"
2021,May,Kolkata,Cardiology,6071,₹150,"₹910,650"
2021,May,Kolkata,Respiratory,4295,₹110,"₹472,450"
2021,May,Kolkata,Gastrointestinal,3817,₹95,"₹362,615"
2021,May,Kolkata,Anti-infective,3331,₹80,"₹266,480"
2021,May,Kolkata,Pain Management,7335,₹60,"₹440,100"
2021,May,Pune,Diabetes,7367,₹120,"₹884,040"
2021,May,Pune,Cardiology,4073,₹150,"₹610,950"
2021,May,Pune,Respiratory,3455,₹110,"₹380,050"
2021,May,Pune,Gastrointestinal,3675,₹95,"₹349,125"
2021,May,Pune,Anti-infective,4742,₹80,"₹379,360"
2021,May,Pune,Pain Management,2572,₹60,"₹154,320"
2021,May,Ahmedabad,Diabetes,6651,₹120,"₹798,120"
2021,May,Ahmedabad,Cardiology,6447,₹150,"₹967,050"
2021,May,Ahmedabad,Respiratory,3759,₹110,"₹413,490"
2021,May,Ahmedabad,Gastrointestinal,4982,₹95,"₹473,290"
2021,May,Ahmedabad,Anti-infective,3885,₹80,"₹310,800"
